tag,start,end,cumdiff
SCMNS017FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,7.97644622E8
SCJIA070FLW002.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,7.97802324E8
SCSUR002FLW004.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.43424367449E11
SCSUR002FLW003.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.43086228232E11
SCSNC041FLW002.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,128.0
SCBAL004FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,8.6689E8
SCMHF014SPR001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,8.66822559E8
SCPRN047SPR001.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.717035059767E12
SCBKN016FLW002.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,2.146298472769E12
SCAMA009FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,2.152287854276E12
SCSYN012FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,8591099.0
SCSEC026FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,8576667.8
SCJIA070FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,5.3528898066E9
SCSUR002FLW004.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,9.65194363E8
SCADN071FLW002.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,9.65165195E8
SCSEC026SPR001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.0
SCSRT051SPR001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,0.0
SCSEC023FLW002.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,100.0
SCKTC067FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,7513124.2
SCCVN031SPR001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,60236.8
SCAMB021SPR001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.5102650196E10
SCPRN045FLW002.TOTAL_FLOW,2021-11-30T00:00:00.000Z,2021-11-30T06:00:00.000Z,801203.7999999998
SCMUR079FLW002.TOTAL_FLOW,2021-11-30T00:00:00.000Z,2021-11-30T06:00:00.000Z,898521.2000000002
SCJYN030FLW002.TOTAL_FLOW,2021-11-30T00:00:00.000Z,2021-11-30T06:00:00.000Z,1.1255061E7
SCPRN046FLW001.TOTAL_FLOW,2021-11-30T00:00:00.000Z,2021-11-30T06:00:00.000Z,51471.600000000006
SCADN071FLW001.TOTAL_FLOW,2021-11-30T00:00:00.000Z,2021-11-30T06:00:00.000Z,2.41447628E8
SCCEN007FLW001.TOTAL_FLOW,2021-11-30T00:00:00.000Z,2021-11-30T06:00:00.000Z,1.31314744E8
SCSNN069FLW001.CUMULATIVE_TOTAL_FLOW,2021-11-30T00:00:00.000Z,2021-11-30T06:00:00.000Z,1.259420391E8
SCJWN056FLW001.TOTAL_FLOW,2021-11-30T00:00:00.000Z,2021-11-30T06:00:00.000Z,1.3356715E7
SCSNC041SPR001.CUMULATIVE_TOTAL_FLOW,2021-11-30T00:00:00.000Z,2021-11-30T06:00:00.000Z,1.05991827E8
SCKHN076FLW001.TOTAL_FLOW,2021-11-30T00:00:00.000Z,2021-11-30T06:00:00.000Z,6.96150752692E8
